"avere bisogno di","to need; have need of","avere bisogno di"
"avere voglia di","to want; to feel like","avere voglia di"
"come","adv. how; than; as, like","come"
"dove","adv. where","dove"
"cosa","(interog. pron.) what","cosa"
"che","(interog. adj.) what; (rel. pron.) who, which, that","che"
"che cosa","(interog. pron.) what","che cosa"
"chi","pron. who, whom","chi"
"quale, -i","adj. which; what","quale, -i"
"quanto, -a","adj. how much, how many","quanto, -a"
"adesso","adv. now; just now","adesso"
"quindi","conj. therefor, so; adv. then","quindi"
"essere","to be","essere"
"avere","to have","avere"
"va bene","inter. all right; okay","va bene"
"perché","adv. why; conj. because","perché"
"bisogno, bisogni","m. need, necessity","bisogno, bisogni"
"tutto, tutta","adj. whole; all","tutto, tutta"
"voglia, volgie","f. desire, wish; craving","voglia, volgie"
"volta, volte","f. time","volta, volte"
"quando","adv./conj. when","quando"
"qualche","ind. adj. a few; some, any","qualche"
"qualcosa","ind. pron. something, anything","qualcosa"
"qualcosa da + infinitive","something to (infinitive)","qualcosa da + infinitive"
"a che ora","at what time","a che ora"
