"abito","n. m. (da donna) dress; (da uomo) suit; pl. (vestiti) clothes"
"abitudine","n. f. (consuetudine) habit"
"accordo","n. m. agreement"
"affetto","n. m. fondness, affection"
"agio","n. m. ease; (comodo) comfort"
"alba","n. f. dawn"
"allegato","n. m. (in email) attachment"
"allenamento","n. m. training"
"ambizione","n. f. (aspirazione) ambition"
"anello","n. m. (gioiello, forma) ring; (di catena) link"
"angolo","n. m. (in geometria) angle; (di strada, stanza, fazzoletto, mobile) corner"
"apertura","n. f. (gener) opening; fig. openness; (ampiezza) width"
"appassionato (-a)","n. m. (f.) enthusiast"
"appendiabiti","n. m. inv. clothes hanger"
"asciugatrice","n. f. (per biancheria) dryer"
"assenza","n. f. (da luogo) absence; (mancanza) lack"
"attaccamento","n. m. (a persona, famiglia) attachment"
"atteggiamento","n. m. (disposizione mentale) attitude"
"comportamento","n. m. (umano, animale) behavior"
"attimo","n. m. moment"
"atto","n. m. (gesto) act, (azione) action"
"attrezzatura","n. f. equipment"
"attrezzo","n. m. tool"
"autista","n. m./f. (conducente) driver"
"autore (-trice)","n. m. (f.) (esecutore) author; (compositore) composer"
"avanzo","n. m. (resto) remainder; (eccedenza) surplus; (di cibo) leftover"
"avversario (-a)","n. m. (f.) opponent; (nemico) adversary"
"azienda","n. f. firm, company"
"bagliore","n. m. (di lampo) flash, (di faro) glare, (di fuoco, tramonto, lampada) glow; (manifestazione) sign"
"bellezza","n. f. (qualità, persona) beauty"
"bersaglio","n. m. <-gli> target"
"bivio","n. m. <-i> (biforcazione) fork; (svolta) crossroads"
"borraccia","n. f. <-cce> water bottle; (di metallo) canteen, flask"
"bosco","n. m. <-schi> wood"
"bozza","n. f. (di contratto, progetto) draft"
"bufala","n. f. (femmina del bufalo) cow buffalo"
"bussola","n. f. compass"
"caccia","n. f. <-cce> (arte venatoria) hunting; (inseguimento) hunt; (ricerca) search"
"cambiamento","n. m. change"
"campanello","n. m. bell"
"cancelleria","n. f. <-ie> (materiale per scrivere) stationery"
"cancello","n. m. gate"
"capacità","n. f. <inv> (di contenere) capacity; (abilità) ability"
"carattere","n. m. (indole) character; (natura) character; (di scrittura) character"
"carico","n. m. <-chi> (operazione) loading; (merce) load, NAUT cargo; (portata: di veicolo, ascensore) load; ELEC charge; (onere) burden"
"carrello","n. m. (per bagagli) (baggage) cart, (al supermercato) (shopping) cart; (per cibi e bevande) cart; (di macchina da scrivere) carriage; film dolly"
"cartella","n. f. (scheda) card; (custodia: di plastica, di cartone) folder; (borsa: per la scuola) schoolbag"
"cascata","n. f. waterfall"
"caso","n. m. (avvenimento fortuito) chance; (ipotesi) case; (fatto) case"
"cattività","n. f. <inv> (di animali) captivity"
"causa","n. f. (origine) cause; (motivo) reason"
"cenere","n. f. ash"
"certezza","n. f. certainty"
"cespuglio","n. m. <-gli> bush"
"cestino","n. m. basket"
"chiarezza","n. f. (comprensibilità) clarity; (precisione) clearness"
"circolo","n. m. MATH, GEOG circle; (associazione) club; ADMIN district"
"circostanza","n. f. (condizione) circumstance; (occasione) occasion"
"collaboratore","n. m. (aiutante) coworker; (a giornale) contributor"
"collezionista","n. mf. <-i , -e> collector"
"colpo","n. m. (botta) blow; (sparo, detonazione) shot; (rumore) knock; (suono: di tosse) fit; (movimento improvviso: d'ali) flap; (malore) stroke; (spavento) shock; (impressione) impression; (azione sleale) job"
"commozione","n. f. (turbamento) emotion; MED concussion"
"compagnia","n. f. <-ie> (lo stare insieme) company; (gruppo) group; THEAT company; REL society; COMM company"
"confine","n. m. border"
"confronto","n. m. (paragone) comparison; LAW (contraddittorio) confrontation"
"conoscente","n. mf. acquaintance"
"conoscenza","n. f. (apprendimento) knowledge; MED consciousness; (persona) acquaintance"
"consapevolezza","n. f. awareness, consciousness"
"coperto","n. m. (in tavola) cover charge"
"corazza","n. f. MIL armor; ZOOL shell"
"cornice","n. f. (di quadro, specchio) frame; (ambientazione) setting"
"correttezza","n. f. correctness"
"corridoio","n. m. <-oi> (di edificio, treno) corridor; (di aereo) aisle"
"corrispondenza","n. f. (lettere) correspondence; (coincidenza) connection"
"corteccia","n. f. <-cce> (di albero) bark; MED cortex"
"corteggiamento","n. m. courtship"
"crepuscolo","n. m. twilight"
"crociera","n. f. NAUT cruise"
"cumulo","n. m. (mucchio: di macerie, terra, pietre) heap; METEO cumulus"
"davanti","n. m. front"
"debolezza","n. f. weakness"
"deriva","n. f. (spostamento) drift"
"destrezza","n. f. skill"
"dietro","n. m. back"
"diritto","n. m. (complesso di norme, scienza) law; (interesse) right; pl. (tassa) fees; (di maglia, stoffa) right side; SPORTS forehand"
"disagio","n. m. (imbarazzo) unease; (mancanza di comodità) discomfort"
"discesa","n. f. (azione) descent; (pendenza) slope; (invasione) invasion"
"disinvoltura","n. f. (naturalezza) ease; (sfacciataggine) insolence; (superficialità) flippancy"
"disordine","n. m. (scompiglio) mess; (situazione confusa) disorder; (sregolatezza: nel mangiare, bere) irregularity; pl. (tumulti) trouble"
"dispiacere","n. m. sorrow"
"distacco","n. m. <-chi> (rimozione: di parti, componenti) removal; (allontanamento) separation; (freddezza) detachment"
"distanza","n. f. (spazio) distance; (tempo) time; (differenza) gulf"
"divieto","n. m. prohibition"
"dolcificante","n. m. sweetener"
"ebbrezza","n. f. (ubriachezza) drunkenness; (euforia) thrill"
"epoca","n. f. <-che> (periodo storico) epoch; (tempo) time"
"equivoco","n. m. <-ci> (malinteso) misunderstanding"
"equivoco","n. m. <-ci> misunderstanding"
"eredità","n. f. <-> inheritance"
"ereditiera","n. f. heiress"
"esigenza","n. f. requirement"
"esilio","n. m. <-i> exile"
"esitazione","n. f. hesitation"
"esito","n. m. outcome"
"esterno","n. m. (di contenitore) outside; (di edificio) exterior; THEAT outdoor scene"
"esterno","n. m. day student"
"estraneità","n. f. <-> non-involvement"
"estraneo","n. m. <-ei, -ee> (sconosciuto) stranger; ADMIN unauthorized person"
"estro","n. m. inspiration"
"fallimento","n. m. LAW (bancarotta) bankruptcy; (risultato, persona) failure"
"familiare","n. mf. family member"
"faraglione","n. m. stack"
"fatica","n. f. <-che> (sforzo) effort; (affaticamento) exhaustion; (pena, difficoltà) difficulty; (lavori pesanti) labor"
"fattura","n. f. (documento) invoice; (foggia: di abito) tailoring, (di mobile) craftsmanship; (maleficio) spell"
"ferita","n. f. injury"
"fessura","n. f. (spaccatura: in terreno, muro) crack; (spiraglio: di porta, finestra) chink"
"fianco","n. m. <-chi> ANAT hip; (lato) side"
"fibra","n. f. (gener) fiber; pl. fiber; (costituzione fisica) constitution"
"fitta","n. f. sharp pain"
"foga","n. f. ardor"
"foglia","n. f. <-glie> leaf"
"folle","n. mf. madman, madwoman"
"fondo","n. m. (base: di pentola, valigia, pozzo,) bottom; (fondale: di mare, lago, fiume) bottom; (bordo inferiore: di pagina, calzoni) bottom; (estremità: di strada) end, (di campo) bottom, (di scena) back; (parte più interna: di cassetto) back; (deposito: di vino, aceto) lees <span class=number""><acronym title=""plurale"">pl</acronym></span>; (terreno) estate; ECON (denaro) fund"""
"fonte","n. f. (sorgente) spring; (di guadagno, guai, informazioni) source"
"forestiero","n. m. foreigner"
"foschia","n. f. <-schie> mist"
"francobollo","n. m. stamp"
"fronda","n. f. foliage"
"fuga","n. f. <-ghe> (atto del fuggire) escape; (fuoriuscita: di gas, liquidi) leak; MUS fugue"
"genio","n. m. <-i> (talento, persona) genius; (folletto) genie"
"gentilezza","n. f. (di persona) kindness, (di modi) courtesy; (piacere) favor"
"gesto","n. m. gesture"
"goccia","n. f. <-cce> drop"
"gracilità","n. f. <inv> (esilità) slenderness; (debolezza) frailty"
"grata","n. f. grating"
"guardaroba","n. m. <-> (armadio, indumenti) wardrobe; (stanza) coatroom"
"guasto","n. m. breakdown"
"ibrido","n. m. hybrid"
"idioma","n. m. <-i> (lingue) idiom"
"imbranato (-a)","n. m. (f.) hopeless case"
"imbranato","n. m. hopeless case"
"imbrunire","n. m. (tramonto) dusk"
"impalcatura","n. f. (nel cantiere) scaffolding; (portante) framework"
"impiegato","n. m. (dipendente) employee"
"impiegato","n. m. employee"
"impresa","n. f. (azione) enterprise; (ditta) company; pl. (di eroe) feats"
"incapace","n. mf. (nella professione) incompetent"
"incarico","n. m. <-chi> (compito) task; (funzione) position, (di insegnante) temporary teaching position"
"incertezza","n. f. (di notizia, fonte) doubtful nature; (di condizione, sviluppi) uncertainty; (titubanza) uncertainty"
"inchiostro","n. m. (per scrivere) ink; (di seppia) cuttlefish ink"
"incontro","n. m. (casuale) encounter; SPORTS match"
"incubo","n. m. nightmare"
"indumento","n. m. (abito) garment"
"inezia","n. f. <-ie> (piccolezza) trifle"
"infarto","n. m. heart attack"
"innamorato (-a)","n. m. (f.) boyfriend, girlfriend"
"inquinamento","n. m. ECO pollution"
"intero","n. m. whole"
"intervento","n. m. (intromissione) intervention; SPORTS tackle; (partecipazione) participation; (discorso) intervention; MED operation"
"involucro","n. m. (confezione) wrapping, (per protezione) casing"
"isolato","n. m. (edifici) block"
"lampo","n. m. (fulmine) flash of lightning; (bagliore) flash; (batter d'occhio) flash; (intuizione) flash"
"lavastoviglie","n. f. <-> dishwasher"
"lavatrice","n. f. (per biancheria) washing machine"
"lentezza","n. f. slowness"
"lettore","n. m. (chi legge) reader; (professione) foreign language assistant"
"lettura","n. f. (atto del leggere) reading; (scritto) (piece of) writing"
"località","n. f. <-> locality"
"lontananza","n. f. (distanza) distance; (assenza, mancanza) absence"
"lotta","n. f. (combattimento) combat; SPORTS wrestling; (contro fumo, malattia) fight; (dissidio) struggle"
"lutto","n. m. (dolore) grief; (abiti) mourning (clothes); (perdita) bereavement"
"maestro","n. m. (insegnante elementare) elementary school teacher; (di danza) teacher, (di sci) instructor; (musicista) maestro; (esperto, artigiano) master; (di vita, stile) master"
"maggioranza","n. f. majority"
"malinteso","n. m. misunderstanding"
"mancia","n. f. <-ce> tip"
"manciata","n. f. (pugno) handful; (piccola quantità) couple"
"mangiare","n. m. food"
"manna","n. f. REL manna; (bene inatteso) godsend"
"marea","n. f. <-ee> GEOG tide; (di fango) river; (grande quantità) load"
"massiccio","n. m. <-cci> massif"
"matita","n. f. pencil"
"matrigna","n. f. stepmother"
"mendicante","n. mf. beggar"
"mensola","n. f. shelf"
"merce","n. f. (prodotto) goods <span class=number""><acronym title=""plurale"">pl</acronym></span>; commodity"""
"mestiere","n. m. (lavoro) job, (lavoro manuale) trade; (pratica) experience; money-spinner"
"metà","n. f. (parte) half; (punto di mezzo) middle"
"micio","n. m. <-ci, -ce> puss"
"minestra","n. f. (zuppa) soup; (faccenda, storia) story"
"minore","n. mf. (più giovane) youngest; (minorenne) minor"
"misfatto","n. m. crime"
"mortale","n. m. mortal"
"motivo","n. m. (ragione) reason"
"mucchio","n. m. <-cchi> (di carte, pietre, stracci) heap; (grande quantità) a lot"
"multa","n. f. fine"
"nebbia","n. f. <-ie> METEO fog; (nebulosità) mist"
"nozze","n. f. wedding"
"nube","n. f. (nuvola) cloud; SCI (radioattiva, tossica, cosmica, ionica) cloud"
"nulla","n. m. nothing"
"obbrobrio","n. m. <-i> (azione vergognosa) disgrace; (cosa brutta) horror"
"oblio","n. m. <-ii> oblivion"
"oggetto","n. m. (cosa) object; (scopo) object; (argomento) subject; LAW matter; PHILOS object; LING object, (complemento oggetto) direct object; ADMIN (nelle lettere) re:"
