"bagnare","vt. (con liquido) to wet; (annaffiare: erba, fiori) to water, (inumidire: fronte, labbra) to moisten; (fiume) to flow through; (mare) to wash; avere bagnato"
"bagnarsi","vr. (fare il bagno) to go for a swim; (con pioggia, acqua) to get soaked; essersi bagnato"
"ballare","vt. (tango, valzer) to dance; vi. (danzare) to dance; avere ballato"
"balzare","vi. (saltare di scatto) to leap; fig. (risaltare) to stand out; essere balzato"
"balzare giù da qc","to leap down from sth"
"balzare dal letto","to leap out of bed"
"balzare in piedi","to leap to one's feet"
"bandire","vt. (indire) to announce; (eliminare) to ban; avere bandito"
"barare","vi. (al gioco) to cheat; avere barato"
"barattare","vt. to trade; avere barattato"
"barattare qc (con qc)","to trade sth (for sth)"
"basare","vt. to base; avere basato"
"basare qc su qc","fig. (fondare) to base sth on sth"
"basarsi","vr. to base o.s.; essersi basato"
"basarsi su","(argomento, valutazione) to be based on"
"bastare","v. imp. (essere sufficiente) to be enough; essere bastato"
"battere","vt. (dar colpi) to beat; vi. (pioggia, sole, cuore) to beat; (orologio) to tick; (bussare) to knock; avere battuto"
"battere i denti","(per il freddo) to chatter"
"battere le mani","to clap (one's hands)"
"battere i piede","fig. to stamp one's feet"
"bere","vt. to drink; avere bevuto"
"bisognare","v. imp. (essere necessario) to be necessary;"
"bloccare","vt. (fissare: porta, finestra) to block; (pazienza, criminale, traffico) to stop; (interrompere: comunicazione, strada, paese) to cut off; avere bloccato"
"bocciare","vt. (agli esami) to fail; (proposta, idea) to reject; (alle bocce) to hit; avere bocciato"
"bollire","vt. to boil; vi. to boil; avere bollito"
"bollire di rabbia","to seethe with rage"
"bruciare","vt. (carta, legna, pentola) to burn; (casa) to burn down; vi. (fuoco, carta, rami) to burn; (casa, bosco) to be on fire; (sole, sabbia) to be burning; avere, essere bruciato"
"bruciarsi","vr. (scottarsi) to burn o.s.; (arrosto, risoto, sugo) to be burnt; essersi bruciato"
"bussare","vi. to knock; avere bussato"
"bussare alla porta","to knock on the door"
"buttare","vt. (gettare) to throw; avere buttato"
"buttare qc a qn","to throw sth at sb"
"buttare giù","(scritto) to jot down; (cibo, boccone) to gulp down; (edificio) to pull, knock down"
"buttarsi","vr. to throw o.s.; essersi buttato"
