"abbandonare","vt. (lasciare: famiglia, paese) to abandon; (trascurare: casa, giardino) to neglect; (rinunciare a: progetto, speranza) to give up; avere abbandonato"
"abbandonare gli studi","to drop out of school"
"abbandonare la speranza","to give up hope"
"abbandonarsi","vr. to let o.s. go; essersi abbandonato"
"abbandonarsi a qc","vr. to indulge in sth"
"abbandonarsi alla fantasia","to indulge in fantasy"
"abbandonarsi a un vizio","to indulge in a vice"
"abbassare","vt. (mettere più in basso) to lower; (prezzo, temperatura) to reduce; avere abbassato"
"abbassare la cresta","to get humbled, become less arrogant"
"abbassare la voce","to lower one's voice"
"abbassarsi","vr. (chinarsi) to bend down; (umiliarsi) to demean o.s.; (calare: temperatura) to drop; (sole) go down; essersi abbassato"
"abbassarsi a fare qc","to lower o.s. to do sth"
"abbozzare","vt. (disegno, romanzo) to sketch; fig. (accennare: sorriso) to give a hint of; avere abbozzato"
"abbracciare","vt. (con le braccia) to hug, embrace; avere abbracciato"
"abitare","vt. (paese, mondo) to inhabit; (casa, appartamento) to live in; vi. to live; avere abitato"
"abitare in Italia","to live in Italy"
"abitare in Lazio","to live in Lazio"
"abitare a Roma","to live in Rome"
"abitare in campagna","to live in the country"
"abitare in città","to live in the city"
"abituarsi (a)","vt. to get used, accustomed (to); essersi abituato"
"abituarsi a (fare) qc","to get used to (doing) sth"
"abusare (di)","to abuse, (approfittare) take advantage (of); avere abusato"
"abusare di qc","to take advantage of, abuse sth"
"accadere","v. imp. to happen; essere accaduto"
"accendere","vt. (fuoco, sigaretta) to light; (apparecchio, luce) to switch, turn on; avere acceso"
"accendere un fuoco","to light a fire"
"accendere l'auto","to start the car"
"accendere le luci","to turn on the lights"
"accendersi","vr. (prender fuoco) to catch fire; (luce, stufa) to come on; essersi acceso"
"accettare","vt. to accept; avere accettato"
"accettare una sfida","to accept a challenge"
"accettare un invito","to accept an invitation"
"accogliere","vt. (persone) to welcome; (consiglio, richiesta) to accept; avere accolto"
"accogliere qn a braccia aperte","to welcome sb with open arms"
"accompagnare","vt. (andare insieme) to go with; to accompany; avere accompagnato"
"accompagnare qn alla porta","to see sb off, see sb to the door"
"accontentare","vt. to please, satisfy; avere accontentato"
"accontentarsi (di)","vr. to content o.s. (with); essersi accontentato"
"accontentarsi di qc","to be content with sth"
"accontentarsi di poco","to be easily pleased"
"accorciare","vt. to shorten; avere accorciato"
"accorciarsi","vr. (giornate) to grow shorter; (abito) to shrink; essersi accorciato"
"accorgersi (di)","vr. (notare) to notice; (capire) realize; to become aware of; essersi accorto"
"accorgersi di qc","to notice, become aware of sth"
"accumulare","vt. (soldi, punti) to accumulate; (energia) to store; avere accumulato"
"accumularsi","vr. to accumulate; essersi accumulato"
"adattare","vt. (modificare: comportamento, metodo) to adapt; avere adattato"
"adattarsi","vr. (stare bene) to suit; essersi adattato"
"adattarsi a qc","to adapt to sth"
"addobbare","vt. to decorate; avere addobbato"
"addolcire","vt. (caffè) to sweeten; (acciaio) to temper; fig. (acqua) soften; avere addolcito"
"aderire (a)","vi. (rimanere a contatto) to stick (to); fig. (proposta, richiesta) to agree (to); (iniziativa) to support; avere aderito"
"addormentarsi","vr. to go to sleep, fall asleep; essersi addormentato"
"addormentarsi in piede","to be dead tired"
"adorare","vt. (persona) to adore; (arte, cibo) to love; avere adorato"
"adottare","vt. to adopt; avere adottato"
"affascinare","vt. (attrarre, sedurre) to charm; avere affascinato"
"affaticare","vt. to tire; avere affaticato"
"affermare","vt. (dire di sì) to answer in the affirmative; (sostenere) to claim; avere affermato"
"affaticarsi","vr. to tire o.s. out; essersi affaticato"
"afferrare","vt. (prendere) to grab; (occasione) to seize; (senso, idea) to grasp; avere afferrato"
"afferrare qn per un braccio","to grab sb by the arm"
