"abbandonare","vt. (lasciare: famiglia, paese) to abandon; (rinunciare a: progetto, speranza) to give up; avere abbandonato"
"abbandonare gli studi","to drop out of school"
"abbandonare la speranza","to give up hope"
"abbassare","vt. (mettere più in basso) to lower; (prezzo, temperatura) to reduce; avere abbassato"
"abbassare la voce","to lower one's voice"
"abbassarsi","vr. (chinarsi) to bend down, stoop; fig. (umiliarsi) to demean o.s.; essersi abbassato"
"abbassarsi a fare qc","to lower o.s. to do sth"
"abbracciare","vt. (con le braccia) to hug, embrace; avere abbracciato"
"abitare","vt. (paese, mondo) to inhabit; (casa, appartamento) to live in; vi. to live; avere abitato"
"abitare in Italia","to live in Italy"
"abitare a Roma","to live in Rome"
"abitare in campagna","to live in the country"
"abitare in città","to live in the city"
"abituarsi (a)","vt. to get used (to), get accustomed (to); essersi abituato"
"abituarsi a fare qc","to get used to doing sth"
"abusare (di)","to abuse, (approfittare) take advantage (of); avere abusato"
"accendere","vt. (fuoco, sigaretta) to light; (apparecchio, luce) turn on; avere acceso"
"accendere un fuoco","to light a fire"
"accendere il forno","to turn on the stove"
"accendere le luci","to turn on the lights"
"accendersi","vr. (prender fuoco) to catch fire; (luce, stufa) to come on; essersi acceso"
"accettare","vt. to accept; avere accettato"
"accettare una sfida","to accept a challenge"
"accettare un invito","to accept an invitation"
"accogliere","vt. (persone) to welcome; (consiglio, richiesta) to accept; avere accolto"
"accogliere qn a braccia aperte","to welcome sb with open arms"
"accompagnare","vt. (andare insieme) to go with; to accompany; avere accompagnato"
"accompagnare qn alla porta","to see sb to the door"
"accontentare","vt. to please, satisfy; avere accontentato"
"accontentarsi (di)","vr. to be content (with); essersi accontentato"
"accontentarsi di poco","to be easily pleased"
"accorciare","vt. to shorten; avere accorciato"
"accorciarsi","vr. (giornate) to grow shorter; (abito) to shrink; essersi accorciato"
"accorgersi (di)","vr. (notare) to notice; (capire) realize; to become aware (of); essersi accorto"
"accumulare","vt. (soldi, punti) to accumulate; (energia) to store; avere accumulato"
"accumularsi","vr. to accumulate; essersi accumulato"
"adattare","vt. (modificare: comportamento, metodo) to adapt; avere adattato"
"adattarsi","vr. to adapt o.s.; (stare bene) to suit; essersi adattato"
"adattarsi a qc","to adapt to sth"
"addobbare","vt. to decorate; avere addobbato"
"addolcire","vt. (caffè) to sweeten; (acciaio) to temper; fig. (acqua) soften; avere addolcito"
"aderire (a)","vi. (rimanere a contatto) to stick (to); fig. (proposta, richiesta) to agree (to); (iniziativa) to support; avere aderito"
"addormentarsi","vr. to go to sleep, fall asleep; essersi addormentato"
"addormentarsi in piede","to be dead tired"
"adorare","vt. (persona) to adore; (arte, cibo) to love; avere adorato"
"adottare","vt. to adopt; avere adottato"
"affascinare","vt. (attrarre, sedurre) to charm; avere affascinato"
"afferrare","vt. (prendere) to grab; (occasione) to seize; (senso, idea) to grasp; avere afferrato"
"afferrare qn per un braccio","to grab sb by the arm"
"affittare","vt. (dare in affitto: casa) to rent out; (prendere in affitto: casa) to rent; avere affittato"
"affliggere","vt. to trouble, afflict; avere afflitto"
"affrettarsi","vr. (sbrigarsi) to hurry (up); essersi affrettato"
"affrettarsi a fare qc","to hurry to do sth"
"affogare","vi. to drown; essere affogato"
"affrontare","vt. (andare incontro a: pericolo, morte, nemico, avversario) to face; (paura, disgrazia) confront; avere affrontato"
"agevolare","vt. (render facile: compito, lavoro, lettura) to facilitate; (favorire: commercio, investimenti) to make easier; avere agevolato"
"aggiungere","vt. to add; avere aggiunto"
"aggiustare","vt. (riparare: televisione, vestito) to repair, mend; (regolare, tiro, mira) to adjust; avere aggiustato"
"agire","vi. (operare, avere effetto) to act; (comportarsi) to behave; avere agito"
"agire bene/male","to act well/badly"
"aiutare","vt. (assistere) to help; (favorire) to aid; avere aiutato"
"aiutare qn (a fare qc)","to help sb (to do sth)"
"aiutarsi","vr. to help o.s.; essersi aiutato"
"alimentare","vt. (nutrire: persona, animale) to feed; (motore, computer, caldaia) to power; avere alimentato"
"allagare","vt. to flood; avere allagato"
"allenare","vt. (atleta, squadra, memoria) to train; (cuore, muscoli) to strengthen; avere allenato"
"allenarsi","vr. to train; essersi allenato"
"allungare","vt. (accrescere di lunghezza: storia, libro, film) to make longer; (accrescere di durata: vita, riunione) to extend; avere allungato"
"allungarsi","vr. (farsi più lungo: giornate) to get longer; (sdraiarsi) to stretch out; essersi allungato"
"alzare","vt. (gener) to raise; (peso) to lift; avere alzato"
"alzare gli occhi al cielo","to roll one's eyes"
"alzare le spalle","to shrug one’s shoulders "
"alzarsi","vr. (levarsi) to get up; (sorgere: sole, luna) to rise; essersi alzato"
"alzarsi in piedi","to stand up, get on one's feet"
"alzarsi dal tavolo","to get up from the table"
"alzarsi dal letto","to get out of bed"
"alzarsi con il piede sbagliato","(cattivo umore) to get up on the wrong foot"
"amare","vt. to love; avere amato"
"amare fare qc","to love to do sth"
"ammalarsi","vr. to get sick, fall ill; essersi ammalato"
"ammalarsi di qc","to get sick with sth"
"ammaliare","vt. to bewitch; avere ammaliato"
"ammazzare","vt. (uccidere) to kill; fig. (affaticare) to exhaust; avere ammazzato"
"ammazzarsi","vr. fig. (suicidarsi) to kill o.s.; essersi ammazzato"
"ammettere","vt. (riconoscere, accogliere) to admit; (permettere) to accept; avere ammesso"
"ammirare","vt. to admire; avere ammirato"
"andare","vt. to go; essere andato"
"andare a casa","to go home"
"andare a dormire","to go to sleep"
"andare a fare qc","to go to do sth"
"andare a finire qc","to go finish sth"
"andare a prendere qc","to go and get sth"
"andare a trovare qn","to go and see somebody"
"andare al lavoro","to go to work"
"andare al mercato","to go to the market"
"andare dal dentista","to go to the dentist"
"andare dal dottore","to go to the doctor"
"andare fiero di qn/qc","to be proud of, take pride in sb/sth"
"andare in banca","to go to the bank"
"andare in farmacia","to go to the pharmacy"
"andare avanti","to go forward"
"andare via","to go away"
"andarsene","vr. to go away; essersene andato"
"annegare","vt./vi. to drown; avere annegato"
"annegarsi","vr. (uccidersi) to down o.s.; essersi annegato"
"annoiare","vt. to bore; avere annoiato"
"annoiarsi","vr. to be bored; essersi annoiato"
"apparire","vi. to appear; (sembrare) to seem; essere apparso"
"apparire all'improvviso","to appear suddenly"
"appartenere (a)","vi. to belong (to); essere appartenuto"
"appendere","vt. (cappotto, giacca, quadro, lampada) to hang (up); avere appeso"
"appendersi","vr. to hang; essersi appeso"
"apprendere","vt. (imparare) to learn; (venire a sapere) to learn about; avere appreso"
"approfittare (di)","vi. (trarre vantaggio) to take advantage (of), to make the most (of)"
"approvare","vt. to approve; avere approvato"
"apprezzare","vt. to appreciate; avere apprezzato"
"aprire","vt. to open; avere aperto"
"aprire la finestra","to open the window"
"aprire la porta","to open the door"
"aprire gli occhi","(rendersi conto) to open one's eyes (to sth)"
"aprire le orecchie","(prestare attenzione) to listen carefully"
"arrabbiarsi","vr. to get angry; essersi arrabbiato"
"arrendersi (a)","vr. (darsi vinto) to surrender (to); fig. (desistere) to give in (to); essersi arreso"
"arrivare","vi. (giungere) to arrive; essere arrivato"
"arrivare (a)","vi. (raggiungere) to reach; essere arrivato"
"arrivare ad un accordo","to reach an agreement"
"arrivare a buon punto","to reach a good point"
"arrivare a casa","to arrive home"
"arrivare ad una conclusione","to reach, arrive at a conclusion"
"arrivare al lavoro","to arrive at work"
"arrivare dal dentista","to arrive at the dentist"
"arrivare dal dottore","to arrive at the doctor"
"arrivare in banca","to arrive at the bank"
"arrivare in farmacia","to arrive at the pharmacy"
"arrivare in anticipo","to arrive early"
"arrivare in orario","to arrive on time"
"arrivare in ritardo","to arrive late"
"asciugare","vt. to dry; avere asciugato"
"ascoltare","vt./vi. to listen (to); avere ascoltato"
"ascoltare qn fare qc","to listen to sb do sth"
"aspettare","vt. to wait (for); avere aspettato"
"aspettare la fine (di qc)","to wait until the end (of sth)"
"aspettarsi","vr. to expect; essersi aspettato"
"assaggiare","vt. (provare) to try; (mangiare/bere una piccola quantità di) to taste/sip; avere assaggiato"
"assicurare","vt. (garantire, fissare) to ensure, assure; avere assicurato"
"assicurarsi (di/che)","vr. (accertarsi) to make sure (to/that); essersi assicurato"
"assistere","vt. (cliente) to assist; vi. (spettacolo, lezione) to attend; (incidente) to witness; avere assistito"
"assomigliare","vi. to resemble, look like; avere assomigliato"
"assomigliarsi","vr. to look alike, resemble each other; essersi assomigliato"
"assorbire","vt. (gener) to absorb; (consumare: tempo) to take up; avere assorbito"
"assumere","vt. (responsibilità, impegno) to take on, (personale, operaio) to employ, hire; avere assunto"
"attaccare","vt. (fissare) to attach; (con colla: etichetta, manifesto) to stick; vi. (avere azione adesiva) to stick; (muovere all'assalto) to attack; avere attaccato"
"attaccare qc a qu","(malattia) to give sb sth"
"attingere (a o da)","vt. (acqua) to draw (from); (denaro, risorse) to draw (on), obtain (from); avere attinto"
"attirare","vt. fig. (tirare a sé) to attract; fig. (allettare) to appeal to; avere attirato"
"attrarre","vt. (tirare a sé) to attract; fig. (allettare: proposta, idea) to appeal; avere attratto"
"attraversare","vt. (passare, attraverso) to cross; fig. (trascorrere: periodo) to go through; avere attraversato"
"attraversare la strada","to cross the street"
"attraversare un brutto periodo","to go through a difficult time"
"aumentare","vt. to increase; avere aumentato; vi. (numero, prezzi, salari) to rise; (quantità) to increase; essere aumentato"
"avere","vt. to have; avere avuto"
